ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"10/7 COOK ROAD, CENTENNIAL PARK NSW 2021","1360000","27 August 2016","0","STRATA","No","2116555","AK852301","30 April 2017"
"12/7 COOK ROAD, CENTENNIAL PARK NSW 2021","930500","16 March 2016","0","STRATA","No","2116557","AK399696","30 April 2017"
"16/7 COOK ROAD, CENTENNIAL PARK NSW 2021","951500","18 September 2015","0","STRATA","No","2116561","AJ940609","30 April 2017"
"8/7 COOK ROAD, CENTENNIAL PARK NSW 2021","1250000","3 December 2014","0","STRATA","Yes (2)","2116554","AJ290837","30 April 2017"
"8/7 COOK ROAD, CENTENNIAL PARK NSW 2021","1250000","3 December 2014","0","STRATA","Yes (2)","2116576","AJ290837","30 April 2017"
"25/7 COOK ROAD, CENTENNIAL PARK NSW 2021","865000","20 March 2014","0","STRATA","No","2116580","AI542026","30 April 2017"
"4/7 COOK ROAD, CENTENNIAL PARK NSW 2021","785000","26 June 2013","0","STRATA","No","2116550","AI133918","30 April 2017"
"27/7 COOK ROAD, CENTENNIAL PARK NSW 2021","653000","31 January 2013","0","STRATA","No","2116571","AH613147","30 April 2017"
"25 COOK ROAD, CENTENNIAL PARK NSW 2021","3200000","1 May 2014","379.4","NON STRATA","No",2116584,"AI758342","30 April 2017"
"3/27 COOK ROAD, CENTENNIAL PARK NSW 2021","1300000","27 February 2017","0","STRATA","No","2116588","AM306879","30 April 2017"
"10/27 COOK ROAD, CENTENNIAL PARK NSW 2021","1010000","10 November 2016","0","STRATA","No","2116595","AM31971","30 April 2017"
"13/27 COOK ROAD, CENTENNIAL PARK NSW 2021","880000","1 June 2016","0","STRATA","No","2116598","AK606706","30 April 2017"
"13/27 COOK ROAD, CENTENNIAL PARK NSW 2021","620000","13 January 2016","0","STRATA","No","2116598","AK183749","30 April 2017"
"10/27 COOK ROAD, CENTENNIAL PARK NSW 2021","900000","25 May 2015","0","STRATA","No","2116595","AJ648939","30 April 2017"
"17/27 COOK ROAD, CENTENNIAL PARK NSW 2021","870000","7 April 2015","0","STRATA","No","2116602","AJ816263","30 April 2017"
"11/27 COOK ROAD, CENTENNIAL PARK NSW 2021","780000","3 October 2013","0","STRATA","No","2116596","AI172005","30 April 2017"
"45/39 COOK ROAD, CENTENNIAL PARK NSW 2021","650000","5 December 2016","0","STRATA","No","2116647","AM151465","30 April 2017"
"56/39 COOK ROAD, CENTENNIAL PARK NSW 2021","312500","14 September 2016","0","STRATA","No","2116658","AK795320","30 April 2017"
"24/39 COOK ROAD, CENTENNIAL PARK NSW 2021","605000","25 June 2016","0","STRATA","No","2116626","AK706393","30 April 2017"
