ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"42/1 ALLEN STREET, PYRMONT NSW 2009","755000","5 November 2016","0","STRATA","No","2020730","AM63429","23 April 2017"
"71/1 ALLEN STREET, PYRMONT NSW 2009","660000","12 October 2015","0","STRATA","No","2020759","AK31867","23 April 2017"
"24/1 ALLEN STREET, PYRMONT NSW 2009","655000","23 September 2015","0","STRATA","No","2020712","AJ967226","23 April 2017"
"63/1 ALLEN STREET, PYRMONT NSW 2009","640000","9 April 2015","0","STRATA","No","2020751","AJ574061","23 April 2017"
"48/1 ALLEN STREET, PYRMONT NSW 2009","635000","14 November 2014","0","STRATA","No","2020736","AJ155274","23 April 2017"
"8/1 ALLEN STREET, PYRMONT NSW 2009","660000","17 May 2014","0","STRATA","No","2020698","AI717032","23 April 2017"
"72/1 ALLEN STREET, PYRMONT NSW 2009","575000","14 May 2014","0","STRATA","No","2020760","AI703827","23 April 2017"
"58/1 ALLEN STREET, PYRMONT NSW 2009","510000","11 March 2014","0","STRATA","No","2020746","AI595114","23 April 2017"
"74/1 ALLEN STREET, PYRMONT NSW 2009","600000","6 February 2014","0","STRATA","No","2020762","AI620459","23 April 2017"
"30/1 ALLEN STREET, PYRMONT NSW 2009","445000","4 December 2013","0","STRATA","No","2020718","AI263320","23 April 2017"
"40/1 ALLEN STREET, PYRMONT NSW 2009","535000","15 November 2013","0","STRATA","No","2020728","AI291316","23 April 2017"
"62/1 ALLEN STREET, PYRMONT NSW 2009","570000","17 April 2013","0","STRATA","No","2020750","AH814859","23 April 2017"
"58/1 ALLEN STREET, PYRMONT NSW 2009","450000","4 June 2012","0","STRATA","No","2020746","AH124963","23 April 2017"
"1/1 ALLEN STREET, PYRMONT NSW 2009","550000","22 May 2012","0","STRATA","No","2020689","AH102168","23 April 2017"
"31 BANK STREET, PYRMONT NSW 2009","20957683","20 November 2015","2971.4","NON STRATA","No",2020824,"AK63391","23 April 2017"
"31 BANK STREET, PYRMONT NSW 2009","17500000","19 December 2014","2971.4","NON STRATA","No",2020824,"AJ453307","23 April 2017"
"130 BOWMAN STREET, PYRMONT NSW 2009","1760000","2 April 2015","107.5","NON STRATA","No",2020916,"AJ519024","23 April 2017"
"126 BOWMAN STREET, PYRMONT NSW 2009","1585000","5 December 2015","101.2","NON STRATA","No",2020918,"AK260914","23 April 2017"
"126 BOWMAN STREET, PYRMONT NSW 2009","1451000","5 April 2014","101.2","NON STRATA","No",2020918,"AI701520","23 April 2017"
"120 BOWMAN STREET, PYRMONT NSW 2009","1200000","6 December 2013","113.8","NON STRATA","No",2020921,"AI541021","23 April 2017"
"80/152 BULWARA ROAD, PYRMONT NSW 2009","880000","17 December 2016","0","STRATA","No","2021510","AM184418","23 April 2017"
"119/152 BULWARA ROAD, PYRMONT NSW 2009","1050000","4 November 2016","0","STRATA","No","2021549","AM66768","23 April 2017"
"111/152 BULWARA ROAD, PYRMONT NSW 2009","968000","27 February 2016","0","STRATA","No","2021541","AK331291","23 April 2017"
"50/152 BULWARA ROAD, PYRMONT NSW 2009","950000","4 November 2015","0","STRATA","No","2021480","AK43968","23 April 2017"
"39/152 BULWARA ROAD, PYRMONT NSW 2009","875000","3 July 2015","0","STRATA","No","2021469","AJ718115","23 April 2017"
"112/152 BULWARA ROAD, PYRMONT NSW 2009","880000","2 June 2015","0","STRATA","No","2021542","AJ769061","23 April 2017"
"42/152 BULWARA ROAD, PYRMONT NSW 2009","900000","23 April 2015","0","STRATA","No","2021472","AJ547526","23 April 2017"
"37/152 BULWARA ROAD, PYRMONT NSW 2009","783000","21 April 2015","0","STRATA","No","2021467","AJ542915","23 April 2017"
"57/152 BULWARA ROAD, PYRMONT NSW 2009","883500","21 February 2015","0","STRATA","No","2021487","AJ387989","23 April 2017"
"43/152 BULWARA ROAD, PYRMONT NSW 2009","820000","2 November 2014","0","STRATA","No","2021473","AJ45282","23 April 2017"
"126/152 BULWARA ROAD, PYRMONT NSW 2009","886000","25 October 2014","0","STRATA","No","2021556","AJ140036","23 April 2017"
"112/152 BULWARA ROAD, PYRMONT NSW 2009","840000","21 October 2014","0","STRATA","No","2021542","AJ207803","23 April 2017"
"63/152 BULWARA ROAD, PYRMONT NSW 2009","696500","29 November 2013","0","STRATA","No","2021493","AI270230","23 April 2017"
"116/152 BULWARA ROAD, PYRMONT NSW 2009","710000","20 November 2013","0","STRATA","No","2021546","AI337318","23 April 2017"
"91/152 BULWARA ROAD, PYRMONT NSW 2009","655000","13 November 2013","0","STRATA","No","2021521","AI301398","23 April 2017"
"39/152 BULWARA ROAD, PYRMONT NSW 2009","45000","9 September 2013","0","STRATA","No","2021469","AI208649","23 April 2017"
"92/152 BULWARA ROAD, PYRMONT NSW 2009","650000","9 August 2013","0","STRATA","No","2021522","AI119485","23 April 2017"
"35/152 BULWARA ROAD, PYRMONT NSW 2009","635000","2 August 2013","0","STRATA","No","2021465","AI69684","23 April 2017"
"16/152 BULWARA ROAD, PYRMONT NSW 2009","647000","7 February 2013","0","STRATA","No","2021446","AH635560","23 April 2017"
"104/152 BULWARA ROAD, PYRMONT NSW 2009","620000","22 October 2012","0","STRATA","No","2021534","AH392814","23 April 2017"
"48/152 BULWARA ROAD, PYRMONT NSW 2009","700000","28 September 2012","0","STRATA","No","2021478","AH366488","23 April 2017"
"112/152 BULWARA ROAD, PYRMONT NSW 2009","615000","16 August 2012","0","STRATA","No","2021542","AH277069","23 April 2017"
"6/134 BULWARA ROAD, PYRMONT NSW 2009","898000","25 August 2016","0","STRATA","No","2021563","AK898809","23 April 2017"
"42/134 BULWARA ROAD, PYRMONT NSW 2009","955000","6 August 2016","0","STRATA","No","2021599","AK782969","23 April 2017"
"33/134 BULWARA ROAD, PYRMONT NSW 2009","930000","14 October 2015","0","STRATA","No","2021590","AK46489","23 April 2017"
"61/134 BULWARA ROAD, PYRMONT NSW 2009","945000","14 October 2015","0","STRATA","No","2021618","AK56820","23 April 2017"
"20/134 BULWARA ROAD, PYRMONT NSW 2009","850000","17 September 2015","0","STRATA","No","2021577","AJ955919","23 April 2017"
"5/134 BULWARA ROAD, PYRMONT NSW 2009","695000","17 July 2015","0","STRATA","No","2021562","AJ945336","23 April 2017"
"14/134 BULWARA ROAD, PYRMONT NSW 2009","769000","2 August 2014","0","STRATA","No","2021571","AI897380","23 April 2017"
"57/134 BULWARA ROAD, PYRMONT NSW 2009","720000","9 May 2014","0","STRATA","No","2021614","AI693208","23 April 2017"
"49/134 BULWARA ROAD, PYRMONT NSW 2009","715000","4 December 2013","0","STRATA","No","2021606","AI423098","23 April 2017"
"28/134 BULWARA ROAD, PYRMONT NSW 2009","695000","10 October 2013","0","STRATA","No","2021585","AI193717","23 April 2017"
"15/134 BULWARA ROAD, PYRMONT NSW 2009","620000","15 August 2013","0","STRATA","No","2021572","AI27041","23 April 2017"
"29/134 BULWARA ROAD, PYRMONT NSW 2009","246400","29 April 2013","0","STRATA","No","2021586","AH728362","23 April 2017"
"72/134 BULWARA ROAD, PYRMONT NSW 2009","630000","7 February 2013","0","STRATA","No","2021629","AH636514","23 April 2017"
"19/134 BULWARA ROAD, PYRMONT NSW 2009","550000","8 September 2012","0","STRATA","No","2021576","AH311053","23 April 2017"
"24/134 BULWARA ROAD, PYRMONT NSW 2009","748000","22 August 2012","0","STRATA","No","2021581","AH304211","23 April 2017"
"76/134 BULWARA ROAD, PYRMONT NSW 2009","1000000","29 May 2012","0","STRATA","No","2021633","AH130847","23 April 2017"
"80 BULWARA ROAD, PYRMONT NSW 2009","1060000","30 May 2015","82.2","NON STRATA","No",2021639,"AJ697463","23 April 2017"
